Values,Year,Province (NUTS 2-unit) <9>,Alter unter/über 15 Jahren,Number,Annotations,Unnamed: 6
Persons in Thousand,2014,Burgenland <AT11>,15 to 24 years,29.3,,
Persons in Thousand,2014,Burgenland <AT11>,25 to 34 years,32.1,,
Persons in Thousand,2014,Burgenland <AT11>,35 to 44 years,39.3,,
Persons in Thousand,2014,Burgenland <AT11>,45 to 54 years,48.1,,
Persons in Thousand,2014,Burgenland <AT11>,55 to 64 years,41.1,,
Persons in Thousand,2014,Burgenland <AT11>,65 years and older,57.1,,
Persons in Thousand,2014,Carinthia <AT21>,Under 15 years,74.6,,
Persons in Thousand,2014,Carinthia <AT21>,15 to 24 years,60.7,,
Persons in Thousand,2014,Carinthia <AT21>,25 to 34 years,65.3,,
Persons in Thousand,2014,Carinthia <AT21>,35 to 44 years,71.4,,
Persons in Thousand,2014,Carinthia <AT21>,45 to 54 years,92.9,,
Persons in Thousand,2014,Carinthia <AT21>,55 to 64 years,74.8,,
Persons in Thousand,2014,Carinthia <AT21>,65 years and older,109.5,,
Persons in Thousand,2013,Burgenland <AT11>,Under 15 years,37.4,,
Persons in Thousand,2013,Burgenland <AT11>,15 to 24 years,29.6,,
Persons in Thousand,2013,Burgenland <AT11>,25 to 34 years,32.4,,
Persons in Thousand,2013,Burgenland <AT11>,35 to 44 years,40.2,,
Persons in Thousand,2013,Burgenland <AT11>,45 to 54 years,47.9,,
Persons in Thousand,2013,Burgenland <AT11>,55 to 64 years,40.4,,
Persons in Thousand,2013,Burgenland <AT11>,65 years and older,55.6,,
Persons in Thousand,2013,Carinthia <AT21>,Under 15 years,75.2,,
Persons in Thousand,2013,Carinthia <AT21>,15 to 24 years,61.6,,
Persons in Thousand,2013,Carinthia <AT21>,25 to 34 years,64.9,,
Persons in Thousand,2013,Carinthia <AT21>,35 to 44 years,73.8,,
Persons in Thousand,2013,Carinthia <AT21>,45 to 54 years,92.4,,
Persons in Thousand,2013,Carinthia <AT21>,55 to 64 years,73.1,,
Persons in Thousand,2013,Carinthia <AT21>,65 years and older,107.4,,
